                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.9157,                 2.0208,                 2.7012,                0.97174,                0.00222,                0.36364,                0.00153,                0.00079,                0.00333,                0.54545,                0.00258,                0.00127,                 1.7448,                 2.0697,                 5.0825,                 0.9289,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.8514,                 1.6701,                 3.0931,                0.93952,                0.00278,                0.45455,                0.00202,                0.00078,                0.00333,                0.54545,                 0.0026,                0.00105,                 1.8061,                 2.2472,                 4.9478,                0.93808,             0.00076755,             0.00076755,             0.00076755
                     27,                 1.6565,                 2.1885,                 2.8661,                0.94873,                0.00222,                0.36364,                0.00159,                0.00083,                0.00333,                0.54545,                 0.0028,                0.00102,                 1.8438,                 1.6956,                 4.9466,                0.98962,             0.00078716,             0.00078716,             0.00078716
                     28,                 1.7589,                 2.0275,                 2.3248,                 1.0112,                0.00222,                0.36364,                0.00159,                0.00083,                0.00333,                0.54545,                 0.0028,                0.00102,                 1.8438,                 1.6956,                 4.9466,                0.98962,             0.00080597,             0.00080597,             0.00080597
                     29,                 1.8112,                 1.8197,                 2.5156,                0.96994,                0.00278,                0.45455,                0.00205,                0.00092,                0.00389,                0.63636,                0.00593,                0.00213,                 1.8643,                 1.6854,                 4.9234,                0.97125,             0.00082399,             0.00082399,             0.00082399
                     30,                 1.7871,                 1.9656,                 2.8989,                0.97756,                0.00444,                0.72727,                0.00396,                0.00115,                0.00444,                0.72727,                0.00521,                0.00168,                   1.96,                 1.7625,                 4.8083,                0.95774,             0.00084122,             0.00084122,             0.00084122
                     31,                 1.6898,                 1.9392,                 2.8055,                0.94874,                0.00444,                0.72727,                0.00396,                0.00115,                0.00444,                0.72727,                0.00521,                0.00168,                   1.96,                 1.7625,                 4.8083,                0.95774,             0.00085766,             0.00085766,             0.00085766
                     32,                 1.7943,                 1.8831,                 2.5431,                0.94957,                0.00444,                0.72727,                0.00412,                0.00106,                0.00444,                0.72727,                 0.0041,                0.00129,                 1.7842,                 1.9008,                 5.2478,                0.93995,             0.00087331,             0.00087331,             0.00087331
                     33,                 1.6033,                 1.8514,                 2.3268,                0.97824,                0.00444,                0.72727,                0.00435,                0.00143,                0.00444,                0.72727,                0.00501,                0.00205,                 1.7022,                 1.7202,                 4.6348,                0.93604,             0.00088816,             0.00088816,             0.00088816
                     34,                 1.5859,                 1.8746,                 2.3001,                0.93072,                0.00444,                0.72727,                0.00435,                0.00143,                0.00444,                0.72727,                0.00501,                0.00205,                 1.7022,                 1.7202,                 4.6348,                0.93604,             0.00090222,             0.00090222,             0.00090222
                     35,                 1.6142,                 1.9286,                 2.5905,                0.96993,                0.00444,                0.72727,                0.00478,                0.00162,                  0.005,                0.81818,                0.00499,                0.00198,                 1.8279,                 1.9818,                 4.8557,                0.97728,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.6568,                 1.7792,                 2.3651,                0.91353,                0.00444,                0.72727,                0.00675,                0.00218,                0.00444,                0.72727,                0.00638,                0.00281,                 1.9012,                 1.6889,                 4.7818,                0.99383,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.6103,                  1.649,                 2.1046,                0.94702,                0.00444,                0.72727,                0.00675,                0.00218,                0.00444,                0.72727,                0.00638,                0.00281,                 1.9012,                 1.6889,                 4.7818,                0.99383,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.5887,                 1.5806,                 1.9196,                0.94123,                0.00444,                0.72727,                0.01138,                0.00423,                  0.005,                0.81818,                0.01205,                0.00471,                 1.9512,                 1.7605,                 4.7865,                 1.0021,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.5613,                 1.2874,                 1.8554,                0.99568,                0.00444,                0.72727,                0.08689,                0.02402,                0.00389,                0.63636,                0.17028,                0.07282,                 1.8534,                 1.5094,                 4.4175,                0.98244,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.6645,                 2.0139,                 1.9328,                0.89838,                0.00444,                0.72727,                0.08689,                0.02402,                0.00389,                0.63636,                0.17028,                0.07282,                 1.8534,                 1.5094,                 4.4175,                0.98244,             0.00096996,             0.00096996,             0.00096996
                     41,                 1.6418,                 1.8597,                  1.896,                0.94137,                0.00444,                0.72727,                 0.2058,                0.06101,                0.00389,                0.63636,                0.33858,                0.17056,                 1.7415,                 1.4186,                 4.4578,                0.94285,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.5251,                 1.6325,                 2.0023,                0.96179,                0.00444,                0.72727,                0.23625,                0.07804,                0.00444,                0.72727,                0.49803,                 0.1941,                 1.8862,                 1.5838,                 4.2967,                0.98745,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.6784,                 1.6318,                 1.7828,                 0.9279,                0.00444,                0.72727,                0.23625,                0.07804,                0.00444,                0.72727,                0.49803,                 0.1941,                 1.8862,                 1.5838,                 4.2967,                0.98745,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.5145,                 1.7445,                 2.2588,                0.93011,                0.00333,                0.54545,                0.34747,                0.11388,                0.00444,                0.72727,                0.50159,                0.21921,                 2.0125,                  1.672,                 4.3231,                 1.0386,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.3662,                 1.4637,                 2.0013,                0.90693,                0.00333,                0.54545,                0.34747,                0.11388,                0.00444,                0.72727,                0.50159,                0.21921,                 2.0125,                  1.672,                 4.3231,                 1.0386,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.6588,                 1.6064,                 1.8573,                0.93911,                0.00389,                0.63636,                0.38709,                0.08829,                0.00389,                0.63636,                0.48361,                0.09258,                 2.0411,                 1.9415,                 4.2031,                  1.075,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.5094,                 1.6217,                 1.8637,                0.88299,                0.00389,                0.63636,                0.38709,                0.08829,                0.00389,                0.63636,                0.48361,                0.09258,                 2.0411,                 1.9415,                 4.2031,                  1.075,               0.001013,               0.001013,               0.001013
                     48,                 1.2623,                 1.5005,                 1.9234,                0.91306,                0.00389,                0.63636,                0.23127,                0.05759,                0.00389,                0.63636,                0.41362,                0.09247,                  2.081,                   2.29,                 3.9872,                 1.0795,              0.0010159,              0.0010159,              0.0010159
                     49,                 1.5381,                 1.3703,                 1.7925,                0.95492,                0.00389,                0.63636,                0.23127,                0.05759,                0.00389,                0.63636,                0.41362,                0.09247,                  2.081,                   2.29,                 3.9872,                 1.0795,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.2906,                 1.3026,                  2.305,                0.89704,                0.42333,                0.45455,                0.40016,                0.12719,                0.42333,                0.45455,                0.40016,                0.19788,                 2.1375,                 2.3005,                 3.8286,                 1.1363,              0.0010195,              0.0010195,              0.0010195
                     51,                 1.3496,                 1.3818,                 1.6732,                0.92111,                0.42333,                0.45455,                0.40016,                0.12719,                0.42333,                0.45455,                0.40016,                0.19788,                 2.1375,                 2.3005,                 3.8286,                 1.1363,                0.00101,                0.00101,                0.00101
                     52,                  1.498,                 1.2186,                 1.7182,                0.88227,                0.44062,                0.45455,                0.31258,                0.13907,                0.44062,                0.45455,                0.31322,                0.17611,                 1.9413,                  2.125,                 3.7914,                 1.0753,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3969,                 1.5699,                 1.6562,                0.83766,                0.44062,                0.45455,                0.31258,                0.13907,                0.44062,                0.45455,                0.31322,                0.17611,                 1.9413,                  2.125,                 3.7914,                 1.0753,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3435,                 1.2847,                 1.8062,                0.85549,                 0.3056,                0.09091,                0.16929,                0.05793,                0.30193,                0.09091,                0.16987,                0.09713,                 1.8164,                 2.0491,                 3.7398,                0.99967,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4687,                 1.2107,                 1.7794,                0.90673,                 0.3056,                0.09091,                0.16929,                0.05793,                0.30193,                0.09091,                0.16987,                0.09713,                 1.8164,                 2.0491,                 3.7398,                0.99967,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5637,                 1.3565,                 1.8786,                0.91762,                 0.1294,                0.18182,                 0.0749,                 0.0359,                0.25879,                0.36364,                0.15732,                0.06231,                 1.7971,                 2.0485,                   3.75,                0.97855,               0.000911,               0.000911,               0.000911
                     57,                 1.5542,                 1.3712,                 1.8104,                0.90673,                 0.1294,                0.18182,                 0.0749,                 0.0359,                0.25879,                0.36364,                0.15732,                0.06231,                 1.7971,                 2.0485,                   3.75,                0.97855,              0.0008912,              0.0008912,              0.0008912
                     58,                   1.38,                  1.325,                 1.7826,                 0.8628,                0.09475,                0.18182,                0.13203,                 0.0554,                0.12914,                0.24362,                0.13999,                0.06973,                 1.8218,                 1.9576,                 3.5439,                0.99641,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2633,                 1.4191,                  1.561,                0.88842,                0.09475,                0.18182,                0.13203,                 0.0554,                0.12914,                0.24362,                0.13999,                0.06973,                 1.8218,                 1.9576,                 3.5439,                0.99641,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2792,                 1.2928,                 1.7474,                0.90958,                0.16145,                0.18182,                0.25762,                0.11143,                0.16227,                0.18182,                0.20456,                0.10217,                 1.8094,                 1.8416,                 3.5066,                0.99626,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3683,                 1.4424,                 1.7344,                0.90805,                0.16145,                0.18182,                0.25762,                0.11143,                0.16227,                0.18182,                0.20456,                0.10217,                 1.8094,                 1.8416,                 3.5066,                0.99626,               0.000812,               0.000812,               0.000812
                     62,                 1.5878,                 1.4225,                 1.6618,                0.93295,                0.19768,                0.18182,                0.30947,                0.12235,                0.19768,                0.18182,                0.24108,                0.12146,                 1.8095,                 1.7154,                 3.3989,                0.98326,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.2295,                 1.7109,                 1.5595,                0.89321,                0.19768,                0.18182,                0.30947,                0.12235,                0.19768,                0.18182,                0.24108,                0.12146,                 1.8095,                 1.7154,                 3.3989,                0.98326,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2147,                 1.4793,                 1.5166,                0.91006,                0.19885,                0.18182,                0.28222,                0.13287,                0.19885,                0.18182,                0.28185,                0.13455,                 1.9029,                 1.5698,                 3.4048,                0.99587,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2355,                 1.3702,                 1.4844,                0.87075,                0.19885,                0.18182,                0.28222,                0.13287,                0.19885,                0.18182,                0.28185,                0.13455,                 1.9029,                 1.5698,                 3.4048,                0.99587,              0.0007328,              0.0007328,              0.0007328
                     66,                  1.212,                 1.5578,                 1.5241,                0.88123,                0.28217,                0.17911,                0.33521,                0.13391,                0.28217,                0.17911,                0.28719,                0.11977,                 1.9871,                 1.4234,                 3.3224,                 1.0007,               0.000713,               0.000713,               0.000713
                     67,                 1.3762,                 1.3516,                 1.5455,                0.83195,                0.28217,                0.17911,                0.33521,                0.13391,                0.28217,                0.17911,                0.28719,                0.11977,                 1.9871,                 1.4234,                 3.3224,                 1.0007,              0.0006932,              0.0006932,              0.0006932
                     68,                  1.458,                 1.7824,                 1.7613,                0.93045,                0.27975,                0.18182,                0.40833,                 0.1606,                0.27975,                0.18182,                0.40797,                0.14708,                 2.0134,                 1.3308,                 3.1455,                 1.0116,              0.0006734,              0.0006734,              0.0006734
